System,CPU-Precision,Clock-MHz,MWIPS,MFLOPS,MIPS-VAX,MWIPS-DP,Lang,Opt,Cost-$K,Year-intro
Alliant FX80-1,Scalar,5.9,7.71,2.02,4.53,7.34,For,Opt,150,1985
Alliant FX80-1,Scalar,5.9,14.9,4.18,6.36,13.9,For,IL,150,1985
Alliant FX80-1,Vector,5.9,18.1,5.92,19.3,NA,For,IL,150,1985
Alliant FX80-2,Vector,5.9,29.5,7.90,25.6,NA,For,IL,NA,1985
Alliant FX80-4,Vector,5.9,54.6,15.0,46.1,NA,For,IL,NA,1985
Alliant FX80-8,Vector,5.9,92.4,26.6,73.5,NA,For,IL,653,1985
Alliant FX80-8,90% Vector,5.9,60.8,17.3,35.8,NA,For,IL,653,1985
Alliant VFX-4,Scalar,NA,4.89,1.04,3.84,3.98,For,Opt,NA,1988
Alliant VFX-4,Vector,NA,33.1,9.93,38.3,3.98,For,Opt,NA,1988
Alliant VFX-4,90% Vector,NA,21.0,5.35,20.2,3.98,For,Opt,NA,1988
Amdahl 470/V6,P1,NA,4.64,NA,NA,3.31,For,Op2,4200,1975
Amdahl 470/V6-II,P1,NA,5.05,NA,NA,3.58,For,Op2,NA,1976
Amdahl 470/V7,P1,34.5,0.20,NA,NA,0.20,Bas,NA,1700,1977
Amdahl 470/V7,P1,34.5,1.85,NA,NA,1.75,Alg,Op1,1700,1977
Amdahl 470/V7,P1,34.5,3.70,NA,NA,3.00,PL1,Op2,1700,1977
Amdahl 470/V7,P1,34.5,5.00,NA,NA,3.65,For,Op0,1700,1977
Amdahl 470/V7,P1,34.5,6.23,NA,NA,4.41,For,Op3,1700,1977
Amdahl 470/V7,P1,34.5,3.70,NA,NA,3.70,Pas,DP,1700,1977
Amdahl 470/V8,P1,38.5,7.37,NA,NA,5.08,For,Op3,1900,1980
Amdahl 5840,P1,42.9,6.28,NA,NA,4.85,For,Op3,2300,1983
Amdahl 5850,P1,42.9,7.96,NA,NA,6.07,For,Op3,2700,1983
Amdahl 5860,P1,42.9,9.91,NA,NA,7.45,For,Op3,3100,1982
Amdahl 5860+FPU,P1,42.9,12.7,NA,NA,10.5,For,Op3,NA,1982
Amdahl 5890-190,P1,66.7,29.4,8.56,24.4,24.8,For,Op3,2600,1987
Amdahl 5990-350,P1,100,36.3,NA,NA,34.0,For,NA,3800,1988
Amdahl VP,P1 Scalar,143,21.7,7.48,19.0,20.5,For,Opt,NA,1984
Amdahl 500 VP,Vector,143,250,103,221,NA,For,Opt,4900,1984
Amdahl 500 VP,90% Vector,143,122,45.2,107,NA,For,Opt,4900,1984
Amdahl 1100 VP,Vector,143,374,146,345,NA,For,Opt,6200,1984
Amdahl 1100 VP,90% Vector,143,143,51.2,127,NA,For,Opt,6200,1984
Amdahl 1200 VP,Vector,143,581,264,623,NA,For,Opt,8100,1984
Amdahl 1200 VP,90% Vector,143,162,59.6,149,NA,For,Opt,8100,1984
Acorn BBC B,6502,NA,0.0031,NA,NA,NA,BasI,NA,0.75,1982
Apple Apple II,6502,NA,0.0011,NA,NA,NA,BasI,NA,1,1976
Apple Apple II,6502,NA,0.0027,NA,NA,NA,Bas,NA,1,1976
Burroughs B1726,P2,NA,0.029,NA,NA,0.0057,For,NA,NA,1975
Burroughs B4700,P2,NA,0.096,NA,NA,0.0064,For,NA,NA,1974
Burroughs B5500,P3,NA,0.064,NA,NA,0.021,For,NA,NA,1964
Burroughs B6714 1.2us,P3,NA,0.327,NA,NA,0.140,For,Op1,NA,1971
Burroughs B7750,P3,NA,0.612,NA,NA,NA,PL1,OP3,NA,1976
Burroughs B7750,P3,NA,0.729,NA,NA,0.270,For,Op0,NA,1976
Burroughs B7750,P3,NA,0.804,NA,NA,0.282,For,Op1,NA,1976
Burroughs B7750,P3,NA,0.870,NA,NA,NA,Alg,NA,NA,1976
CA LSI-2/20,P7,NA,0.0154,NA,NA,0.0047,For,NA,NA,1974
CCI Power 6/32,NA,10,7.60,NA,NA,2.10,For,NA,110,1985
CDC 6600 (Cyber74),P4,10,0.247,NA,NA,NA,Sim,NA,3900,1964
CDC 6600 (Cyber74),P4,10,1.96,NA,NA,NA,For,Op1,3900,1964
