Ord,System,OS,CPU,clock,V1.1,V2.1,REF
001,DEC AlphaServer 8400 5/300,UNIX V4.0,DEC 21164,300.0,550.1,464.8,99
002,DEC AlphaServer 8400 5/300,UNIX V4.0,DEC 21164,300.0,523.5,457.2,97
003,Dell Dimension Pro150,NT 4.0 srvr,Pentium Pro,200.0,NA,446.9,103
004,Dell Dimension Pro150,NT 4.0 srvr,Pentium Pro,200.0,NA,419.5,101
005,DEC Alpha 600 5/266,OSF/1 V3.2c,21164-EB5,266.0,NA,366.8,79
006,DEC Server 2100 5/250,UNIX V3.2b,DEC 21064,250.0,NA,360.4,70
007,Dell XPS Pro 200n,NT 3.51,Pentium Pro,200.0,372.8,312.4,110
008,DEC 3000/900 AXP,OSF/1 V3.0,DEC 21064,275.0,NA,291.9,63
009,DEC Alpha 600 5/266,OSF/1 V3.2c,21164-EB5,266.0,NA,290.0,79
010,Micron Pro Magnum+,WindowsNT4.0,Pentium P6,200.0,294.7,275.7,95
011,DEC 200 4/233,OSF/1 V3.2,DEC 21064A,233.0,189.3,245.8,73
012,DEC Alpha 250 4/266,OSF/1 V3.2c,NA,266.0,NA,226.2,81
013,Pentium P6-200,Solaris x86,Pentium P6,200.0,258.5,220.7,112
014,DEC 10000/610 AXP,OpenVMS V1.0,DEC 21064,200.0,194.9,214.8,6
015,SGI Indigo2,IRIX 6.2,MIPS R10000,195.0,223.8,214.4,107
016,Acorn RiscPC,RiscOS,ARM SA110,200.0,NA,204.1,88
017,DEC 7000/600 AXP,OSF/1 V1.3a,DEC 21064,200.0,195.5,203.3,33
018,SGI Indigo2,IRIX 6.2,MIPS R10000,195.0,221.1,202.9,107
019,Power Macintosh 7500,MacOS7.5.3R2,PPC 604,132.0,283.2,196.7,96
020,DEC Alpha 250 4/266,OSF/1 V3.2c,NA,266.0,NA,196.0,81
021,DEC 7000/610 AXP,OpenVMS V1.0,DEC 21064,182.0,177.3,195.6,6
022,DEC 3000/800 AXP,OSF/1 V1.3a,DEC 21064,200.0,192.9,189.7,33
023,DEC 4000/710 AXP,OSF/1 V1.3a,DEC 21064,190.0,188.7,189.7,33
024,HP 9000/735,HP-UX 9.03,PA-RISC7150,125.0,224.5,189.2,64
025,SGI Indigo2,IRIX 6.2,MIPS R10000,195.0,200.2,188.0,107
026,Sun Ultra 1,Solaris 2.5,UltraSPARC,167.0,189.7,179.0,80
027,Pentium P5-133,Windows 95,Pentium P5,133.0,NA,178.4,111
028,Sun Ultra 4000,Solaris2.5.1,UltraSPARC,167.0,194.6,173.9,113
029,DEC 4000/610 AXP,OpenVMS V1.0,DEC 21064,160.0,159.0,173.0,6
030,DEC 3000/600 AXP,OSF/1 V1.3a,DEC 21064,175.0,168.5,167.4,33
031,PowerMac 9500/120,System 7.5.2,PowerPC 604,125.0,NA,167.4,71
032,DEC 3000/500 AXP,OpenVMS V1.0,DEC 21064,150.0,146.7,160.1,6
033,Pentium P5-120,Windows 95,Pentium P5,120.0,NA,159.4,104
034,Sun Ultra 1,Solaris 2.5,UltraSPARC,143.0,162.2,153.0,80
035,HP 9000/735,HP-UX 9.01,PA-RISC7100,99.0,NA,146.5,52
036,HP 9000/735,HP-UX 9.01,PA-RISC7100,99.0,NA,143.0,46
037,DEC 3000/400 AXP,OpenVMS V1.0,DEC 21064,133.0,129.9,142.1,6
038,Pentium P5-100,Windows 95,Pentium P5,100.0,NA,138.1,100
039,HP 9000/712,HP-UX 9.03,PA-7100LC,100.0,NA,137.5,89
040,DEC 3000/500 AXP,OSF/1 T1.3-3,DEC 21064,150.0,211.0,137.1,25
041,Sun SPARCstation 20/HS21,Solaris 2.4,HyperSPARC,125.0,150.2,136.8,78
042,Mac PowerPC 604,MacOS 7.5.2,PowerPC 604,120.0,NA,136.6,74
