No,System,Date introduced,Sci ops/sec,Com ops/sec,Com sec/dol
219,IBM 7040,4/63,21420,9079,44.54
265,General Electric 625,4/65,224374,118154,15.20
220,IBM 7044,7/63,67660,23420,23.98
266,DEC PDP-8,4/65,1768,990.5,230.9
221,RCA 601,1/63,68690,58880,13.86
267,DEC PDP-7,4/65,68497,29571,103.9
222,Honeywell 1800,11/63,110600,57750,17.81
268,IBM 360/40,5/65,33438,50073,54.08
223,Philco 1000,6/63,6811,10440,65.63
269,IBM 360/30,5/65,7942,17104,72.88
224,Philco 2000-212,2/63,369800,84230,9.169
270,NCR 315/RMC,7/65,132060,153770,62.35
225,Librascope L 3055,12/63,114000,30620,10.39
271,Univac 1108-II,8/65,2075181,2088142,10.39
226,H.W.Electronics 15K,2/63,119.6,50.98,1247
272,General Electric 435,8/65,24803,56623,41.57
227,General Electric 215,6/63,5246,6924,89.07
273,IBM 360/50,9/65,187488,148967,27.47
228,DDP-24,6/63,580.4,632.7,124.7
274,IBM 1130,9/65,16.38,56.76,692.8
229,CDC 3600,6/63,459065,156375,12.47
275,NCR 590,9/65,4.288,21.76,519.6
230,Univac 1050,9/63,12028,19675,113.4
276,ASI 6240,10/65,33177,13232,155.9
231,Univac 1004,9/63,97.12,1473,415.7
277,Univac 491 & 492,10/65,4929,48490,36.68
232,DEC PDP-5,10/63,6338,12519,311.8
278,RCA Spectra 70/15,10/65,1837,16586,164.1
233,IBM 1460,10/63,1611,7200,69.28
279,Raytheon 520,10/65,29118,13427,207.8
234,IBM 1440,11/63,1412,5559,183.40
280,IBM 360/75,11/65,3560854,1437806,11.81
235,Honeywell 1400,12/63,1770,6821,41.57
281,Honeywell 2200,12/65,12222,14332,77.94
236,ASI 2100,12/63,24628,10241,178.2
282,CDC 3800,12/65,690510,150726,12.47
237,SDS 93C0,12/63,43876,10646,89.07
283,RCA Spectra 70/25,12/65,4818,36366,103.9
238,Burroughs 273,1/64,714.6,3467,87.82
284,Friden 6010,1/66,1.66,48.66,1039
239,General Electric 235,1/64,28557,22244,51.96
285,CDC 6400,1/66,696086,193785,12.47
240,IBM 7010,1/64,5729,11537,31.18
286,DDP-124,1/66,5812,7618,249.4
241,Burroughs B160-180,4/64,295.5,1599,145
287,Honeywell 1200,1/66,2130,10907,115.5
242,CDC 160G,4/64,54065,20278,89.07
288,IBM 360/20,1/66,1932,4497,239.8
243,IBM 7094 II,4/64,217108,95146,8.20
289,Univac 1005 II/III,2/66,88.25,1677,259.8
244,CDC 3200,5/64,195256,87510,51.96
290,Univac 1005 I,2/66,71.73,1186,366.8
245,General Electric 415,5/64,7472,15668,77.94
291,Honeywell 120,2/66,2108,9526,190
246,Univac 1004 II/III,6/64,79.16,1878,283.4
292,IBM 360/65,3/66,1385573,809738,13.86
247,SDS 930,6/64,73181,21035,103.9
293,Univac 494,3/66,1291740,1527140,24.94
248,General Electric 425,6/64,11485,22160,62.35
294,SDS 940,4/66,289444,301365,34.64
249,General Electric 205,7/64,1775,6188,311.8
295,RCA Spectra 70/55,7/66,1341132,1224010,19.48
250,Honeywell 200,7/64,1148,7027,103.9
296,RCA Spectra 70/45,7/66,211610,290493,41.57
251,RCA 3301,7/64,126761,58359,44.54
297,RCA Spectra 70/35,7/66,61186,126391,77.94
252,DEC PDP-6,7/64,46359,32803,51.96
298,Philco 2000-213,10/66,6251118,4307061,7.793
253,CDC 6600,9/64,7021619,4091293,8.31
299,IBM 360/44,10/66,1025941,858520,62.35
254,Univac 418,9/64,58767,166564,62.35
300,Honeywell 4200,5/67,45569,32270,31.18
255,NCR 315-100,11/64,6164,17251,155.9
301,SDS Sigma 7,12/66,894566,554280,41.57
256,General Electric 635,11/64,338958,253898,11.34
302,DEC PDP-8/S,9/66,1595,8546,1247.
257,CDC 3400,11/64,269859,157202,29.69
303,DEC PDP-9,12/66,107672,352534,1247.
258,Burroughs B5500,11/64,376275,544201,20.78
304,SDS Sigma 2,1/67,118152,101079,155.8
259,SDS 925,2/65,92692,150102,155.9
305,Burroughs B2500,2/67,22153,28791,124.7
260,SDS 92,2/65,19140,79065,239.8
306,Burroughs B3500,5/67,154842,130251,69.31
261,CDC 3100,2/65,118462,74391,77.94
307,Univac 9300,6/67,4350,18424,138.6
262,ASI 6020,3/65,28160,13161,178.1
308,Univac 9200,6/67,1592,7458,415.7
263,DDP-224,3/65,52330,81492,103.9
309,Burroughs B6500,2/67,3127266,2755760,15.59
264,DDP-116,4/65,2176,4023,677.7
310,CDC 3500,9/67,1086342,1021365,29.69
