Index,System,KOPS
1,Univac 9200,19
2,IBM System 3/32,20
3,IBM 360/22,36
4,IBM 360/30,36
5,Univac 9300,38
6,IBM 360/25,40
7,Burroughs B1705,46
8,Univac 70/35 (RCA),54
9,Burroughs B1707,55
10,IBM System 3,55
11,IBM 370/115,55
12,Burroughs B1709,60
13,Burroughs B1713,65
14,Burroughs B1830,70
15,Burroughs B1715,70
16,IBM 360/40,70.
17,Burroughs B1717,75
18,Honeywell Level 62,75
19,IBM 370/115-2,77
20,IBM 370/125,80
21,Univac 70/46 (RCA),83
22,Univac 70/3 (RCA),83
23,Burroughs B2700,95
24,IBM 370/125-2,99
25,Burroughs B1776,100
26,Honeywell 62/40B,100
27,Honeywell 64/20,100
28,Univac 90/25,100
29,Univac 70/45 (RCA),105
30,Univac 70/2 (RCA),105
31,IBM System 3/34,110
32,Univac 9400,110
33,Univac 9480,110
34,Honeywell 64/20C,126
35,Honeywell 64/30,135
36,Univac 90/30,139
37,IBM 360/50,158
38,Univac 80/3,160
39,IBM 370/135,161
40,Honeywell 64/40,162
41,Honeywell 62/60D,163
42,DEC 1040,165
43,DEC 1050 KA,166
44,Burroughs B3700,170
45,Burroughs B1726,175
46,NCR V-8455,179
47,Burroughs B1860,180
48,Burroughs B2830,200
49,Burroughs B1728,200
50,Burroughs B1870,200
51,Honeywell 64 DPS320,213
52,IBM 4331,213
53,IBM 370/138,214
54,Honeywell 64/50,219
55,Univac 70/55 (RCA),237
56,Univac 90/60,240
57,Univac 80/5,250
58,Honeywell 66/05,270
59,Honeywell 64/60,273
60,NCR V-8555M,277
61,NCR V-8560,281
62,Univac 70/61 (RCA),287
63,Univac 70/7 (RCA),287
64,Univac 90/60 E,295
65,IBM 370/145,300
66,Univac 70/60 (RCA),300
67,Univac 70/6 (RCA),300
68,DEC 1055 (2X),307
69,CDC Omega 480-I,321
70,Magnuson M80/3,321
71,Univac 90/70,329
72,Burroughs B4700,340
73,Burroughs B3830,340
74,Burroughs B6807,340
75,Univac 9700,344
76,Honeywell 66/10,350
77,Nanodata QMX 6333,380
78,Burroughs B6803,382
79,NCR V-8570,383
80,Univac 1100/11,392
81,Univac 1106,400
82,Univac 418-III,400
83,Honeywell 66/05 (2X),405
84,NCR V-8565M,424
85,Burroughs B6700,425
86,IBM 370/148,425
87,Magnuson M80/31,430
88,Burroughs B6806,450
89,Burroughs B6805,459
90,DEC 2040,462
91,Honeywell DPS 8/20,473
92,DEC 1060,496
93,DEC 1070 KI,497
94,DEC PDP-11/60,510
95,CDC 171,520
96,Honeywell 66/10 (2X),525
97,Magnuson M80/4,531
98,Magnuson M80/32,531
99,NCR V-8555MP,531
100,Honeywell 66/07,540
101,Burroughs B6807,544
102,Univac 1100/60 C1,544
103,Burroughs B6808,545
104,IBM 370/155,550
105,Nanodata QMX 6336,550
106,CDC Omega 480-II,553
107,Honeywell 66/20,560
108,Univac 1100/61 C1,560
109,IBM 360/65,568
110,Univac 1106-II,571
111,NCR V-8575,576
112,NAS AS/4,595
113,DEC PDP-11/70,600
114,DEC 1066 (2X),600
115,Univac 90/80-2,600
116,Univac 1100/11 (overlap),614
117,Univac 494,650
118,NCR V-8565,656
119,Univac 1100/61 C2,672
120,Univac 1100/60 C2,680
121,Honeywell 66/17,700
122,IBM 360/75,700
123,Honeywell DPS 8/44,710
124,Burroughs B4840,718
125,DEC 1077 (2X),746
126,IBM 4341,758
127,Univac 1108,760
128,Burroughs B6810,765
129,Burroughs B6811,765
130,Burroughs B6812,755
131,NCR V-8585M,779
132,Univac 90/80-3,800
133,Univac 90/80,825
134,DEC 1090 KL,829
135,DEC 1080,829
136,DEC 2050,829
137,IBM 370/158,829
138,NAS AS/5-1,829
139,DEC VAX 11/780,831
140,Magnuson M80/42,834
141,Burroughs B7803,845
142,Burroughs B7750,845
143,Nanodata QMX 6343,880
144,NCR V-8575MP,884
145,Burroughs B7805,900
146,Honeywell 66/40,900
147,IBM 370/158-3,900
148,NAS AS/5-3,900
