year,location,count
2008,email,1
1999,extracted,1
1993,extracted,1
2015,website,1
1998,extracted,1
2004,paper,5
2010,website,12
2013,paper,4
2010,website,1
2000,email,1
2014,website,18
1984,paper,2
2009,paper,3
1993,paper,1
1989,paper,1
2005,email,2
1992,extracted,1
1998,paper,2
2014,email,5
1964,paper,1
2012,website,14
2016,website,7
1973,paper,3
1962,extracted,1
1969,paper,1
2009,extracted,1
1999,email,1
1958,paper,1
2007,extracted,1
2002,paper,1
2008,extracted,1
2004,extracted,1
2011,paper,5
1982,paper,1
1935,extracted,1
2001,extracted,2
2007,paper,5
2016,paper,5
2003,email,1
1987,paper,1
2011,NA,8
1996,paper,1
1998,website,2
2002,NA,9
2012,email,11
2008,email,2
2010,NA,12
2014,NA,10
2007,website,4
2009,???,1
2001,NA,7
2006,???,1
2005,paper,2
2017,NA,2
2013,NA,16
1997,email,1
1976,paper,1
2004,NA,7
2000,NA,7
2005,website,2
2012,NA,15
2016,NA,13
2003,NA,5
2009,website,4
2007,NA,11
1956,paper,1
2015,NA,26
1965,paper,2
2006,NA,9
1971,extracted,1
2001,???,1
2005,NA,15
2009,NA,8
2014,paper,6
2008,NA,13
2015,extracted,1
2011,extracted,1
1994,???,1
2010,email,5
2015,website,11
2006,email,2
1990,NA,1
2015,email,1
1993,???,1
2013,extracted,1
2003,paper,3
2013,website,13
1995,email,1
1995,paper,1
1980,NA,2
2017,website,1
2008,paper,5
1992,paper,1
1971,NA,4
1992,NA,3
1983,NA,1
1988,paper,1
2015,cited,1
2011,website,6
1991,NA,1
1995,NA,2
1997,paper,1
1961,NA,2
1982,NA,2
1986,NA,3
2009,email,1
1998,NA,3
1994,NA,4
1968,paper,1
1960,NA,1
1985,NA,4
1981,NA,3
1976,NA,1
1972,NA,1
1993,NA,6
1997,NA,4
2012,paper,5
1984,NA,1
1963,NA,1
1988,NA,3
1982,extracted,1
1979,NA,1
1975,NA,3
1996,NA,7
1987,NA,7
1974,NA,3
1978,NA,2
2013,email,10
1999,NA,6
2001,paper,3
1969,NA,2
2010,paper,3
2008,website,4
1981,paper,3
1968,NA,1
2006,paper,4
1989,NA,5
1926,NA,1
2015,website,1
1993,website,1
1977,paper,2
1955,NA,1
2015,paper,2
2002,email,1
1986,paper,2
2002,website,1
1995,paper,2
2011,email,2
2007,email,4
1991,website,1
2016,email,3
1966,paper,1
1995,website,1
1927,NA,1
2004,website,1
